全球団打点ランキング,,,,,,,,,,,,,,,,,
順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率
240,伊東 亮大,楽天,0.273,8,23,22,6,2,2,1,0,1,5,0,1,0.591,0.304
240,青松 慶侑,ロッテ,0.15,13,20,20,3,1,2,0,0,0,7,0,0,0.35,0.15
240,細谷 圭,ロッテ,0.3,16,14,10,3,0,2,1,3,0,1,0,0,0.3,0.429
240,隠善 智也,巨人,1,3,2,2,2,0,2,0,0,0,0,0,0,1,1
258,内村 賢介,DeNA,0.179,28,46,39,7,0,1,2,2,0,9,5,0,0.179,0.22
258,堂上 直倫,中日,0.158,43,43,38,6,1,1,0,4,0,8,1,0,0.237,0.238
258,坂田 遼,西武,0.146,15,42,41,6,0,1,0,1,0,10,0,1,0.195,0.167
258,ムリーロ,楽天,0.313,9,37,32,10,0,1,2,5,0,3,0,1,0.344,0.405
258,セペダ,巨人,0,20,28,21,0,0,1,0,7,0,6,0,1,0,0.25
258,鉄平,オリックス,0.136,13,22,22,3,0,1,0,0,0,2,0,1,0.182,0.136
258,カステヤーノス,巨人,0.1,6,22,20,2,0,1,0,2,0,11,0,0,0.15,0.182
258,フランシスコ,巨人,0.167,5,18,18,3,0,1,0,0,0,11,0,0,0.167,0.167
258,松中 信彦,ソフトバンク,0.067,9,16,15,1,0,1,0,1,0,9,0,0,0.067,0.125
258,矢野 謙次,巨人,0.071,8,14,14,1,0,1,0,0,0,3,0,0,0.071,0.071
258,上本 達之,西武,0.154,6,14,13,2,0,1,0,1,0,2,0,1,0.154,0.214
258,塚田 正義,ソフトバンク,0.167,12,12,12,2,1,1,2,0,0,2,0,0,0.417,0.167
258,山川 穂高,西武,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
